tweet,tweet_tokenized,tweet_translated,tweet_translated_tokenized
"Reportan que más de 300 familias se vieron afectadas en el sector Luis Hurtado Higuera, en San Félix, por la fuerte lluvia de estactarde #12Jul Se cayeron 3 postes de electricidad. Fotos Cortesía  https://t.co/bePqVYMxH6","['reportan', 'familias', 'vieron', 'afectadas', 'sector', 'luis', 'hurtado', 'higuera', 'san', 'félix', 'fuerte', 'lluvia', 'estactarde', 'jul', 'cayeron', 'postes', 'electricidad', 'fotos', 'cortesía']","They report that more than 300 families were affected in the Luis Hurtado Higuera sector, in San Félix, by the heavy rain from station # 12Jul. 3 electricity poles fell. Photos Courtesy https://t.co/bePqVYMxH6","['report', 'families', 'affected', 'luis', 'hurtado', 'higuera', 'sector', 'san', 'félix', 'heavy', 'rain', 'station', 'jul', 'electricity', 'poles', 'fell', 'photos', 'courtesy']"
#12Jul 5:56 pm. Varios sectores de Puerto Ordaz sin electricidad.,"['jul', 'pm', 'varios', 'sectores', 'puerto', 'ordaz', 'electricidad']",# 12Jul 5:56 pm. Several sectors of Puerto Ordaz without electricity.,"['jul', 'pm', 'several', 'sectors', 'puerto', 'ordaz', 'without', 'electricity']"
"@PiermatteyJhoan @juliocastrom Sí, pero no como efecto de la vacuna en sí. Estar vacunados solo hará que si nos contagiamos, no nos veamos comprometidos y llegar a cuidados intensivos. Igual podemos contagiar a otras personas. El cuidado debe mantenerse","['piermatteyjhoan', 'juliocastrom', 'efecto', 'vacuna', 'vacunados', 'solo', 'hará', 'si', 'contagiamos', 'veamos', 'comprometidos', 'llegar', 'cuidados', 'intensivos', 'igual', 'podemos', 'contagiar', 'personas', 'cuidado', 'debe', 'mantenerse']","@PiermatteyJhoan @juliocastrom Yes, but not as an effect of the vaccine itself. Being vaccinated will only mean that if we become infected, we will not be compromised and reach intensive care. We can still infect other people. Care must be maintained","['piermatteyjhoan', 'juliocastrom', 'yes', 'effect', 'vaccine', 'vaccinated', 'mean', 'become', 'infected', 'compromised', 'reach', 'intensive', 'care', 'still', 'infect', 'people', 'care', 'must', 'maintained']"
"@LesmeRojas @diogelis Lamentablemente la falta de transparencia y las mismas acciones de algunos actores políticos en la oposición generaron ese efecto en la población. No se trata solo de creer o tener fe, es retomar y demostrar la política seria que aspiramos. Bolívar no es ejemplo, por cierto.","['lesmerojas', 'diogelis', 'lamentablemente', 'falta', 'transparencia', 'mismas', 'acciones', 'actores', 'políticos', 'oposición', 'generaron', 'efecto', 'población', 'trata', 'solo', 'creer', 'tener', 'fe', 'retomar', 'demostrar', 'política', 'seria', 'aspiramos', 'bolívar', 'ejemplo', 'cierto']","@LesmeRojas @diogelis Unfortunately the lack of transparency and the very actions of some political actors in the opposition generated that effect on the population. It is not just about believing or having faith, it is taking up and demonstrating the serious politics that we aspire to. Bolívar is not an example, by the way.","['lesmerojas', 'diogelis', 'unfortunately', 'lack', 'transparency', 'actions', 'political', 'actors', 'opposition', 'generated', 'effect', 'population', 'believing', 'faith', 'taking', 'demonstrating', 'serious', 'politics', 'aspire', 'bolívar', 'example', 'way']"
"@schantalmilano No has pensado en irte del país? Por qué no te vas del país? Ya empezaste a ""producir""? Y otras más personales, desde el novio, cuándo te casas, pa cuándo los hijos... nunca terminan","['schantalmilano', 'pensado', 'irte', 'país', 'vas', 'país', 'empezaste', 'producir', 'personales', 'novio', 'cuándo', 'casas', 'pa', 'cuándo', 'hijos', 'nunca', 'terminan']","@schantalmilano You haven't thought about leaving the country? Why don't you leave the country? Have you already started ""producing""? And other more personal ones, from the boyfriend, when you get married, to when the children ... never end","['schantalmilano', 'thought', 'leaving', 'country', 'leave', 'country', 'already', 'started', 'producing', 'personal', 'ones', 'boyfriend', 'get', 'married', 'children', 'never', 'end']"
Guaidó no fue detenido. Voluntad Popular denuncia el secuestro de Freddy Guevara por parte de las FAES. Su última comunicación fue cuando hizo una transmisión en vivo donde informó que su vehículo fue interceptado,"['guaidó', 'detenido', 'voluntad', 'popular', 'denuncia', 'secuestro', 'freddy', 'guevara', 'parte', 'faes', 'última', 'comunicación', 'hizo', 'transmisión', 'vivo', 'informó', 'vehículo', 'interceptado']",Guaidó was not detained. Popular Will denounces the kidnapping of Freddy Guevara by the FAES. The last communication from him was when he did a live broadcast where he reported that his vehicle was intercepted,"['guaidó', 'detained', 'popular', 'denounces', 'kidnapping', 'freddy', 'guevara', 'faes', 'last', 'communication', 'live', 'broadcast', 'reported', 'vehicle', 'intercepted']"
"¿Cuándo detendrán al ""koki""?","['¿cuándo', 'detendrán', 'koki']","When will the ""koki"" be stopped?","['koki', 'stopped']"
Como toda dictadura. La respuesta a una población sometida a la miseria por más de 60 años y que no aguanta más y clama por su libertad. #SOSCuba,"['toda', 'dictadura', 'respuesta', 'población', 'sometida', 'miseria', 'años', 'aguanta', 'clama', 'libertad', 'soscuba']",Like any dictatorship. The response to a population subjected to misery for more than 60 years and who cannot take it anymore and cries out for their freedom. #SOSCuba,"['like', 'dictatorship', 'response', 'population', 'subjected', 'misery', 'years', 'cannot', 'take', 'anymore', 'cries', 'freedom', 'soscuba']"
#12Jul 1:25 pm. Reportan detención de Freddy Guevara. Fabiana Rodales también denuncia presencia de las FAES en su casa con el objetivo de detener a Juan Guaidó,"['jul', 'pm', 'reportan', 'detención', 'freddy', 'guevara', 'fabiana', 'rodales', 'denuncia', 'presencia', 'faes', 'casa', 'objetivo', 'detener', 'juan', 'guaidó']",# 12Jul 1:25 pm. They report the arrest of Freddy Guevara. Fabiana Rodales also denounces the presence of the FAES in her house with the aim of detaining Juan Guaidó,"['jul', 'pm', 'report', 'arrest', 'freddy', 'guevara', 'fabiana', 'rodales', 'also', 'denounces', 'presence', 'faes', 'house', 'aim', 'detaining', 'juan', 'guaidó']"
@diogelis  https://t.co/fzGsnlge8V,['diogelis'],@diogelis https://t.co/fzGsnlge8V,['diogelis']
"Y así aplican el castigo en Ciudad Guayana. La excluyen del ""plan especial"" de despacho de gasolina  https://t.co/MnxGQowktz","['así', 'aplican', 'castigo', 'ciudad', 'guayana', 'excluyen', 'plan', 'especial', 'despacho', 'gasolina']","And so they apply the punishment in Ciudad Guayana. They exclude it from the ""special plan"" for gasoline dispatch https://t.co/MnxGQowktz","['apply', 'punishment', 'ciudad', 'guayana', 'exclude', 'special', 'plan', 'gasoline', 'dispatch']"
@CarlosSuniagaG Y no fuiste a cubrir esa pauta 🤭,"['carlossuniagag', 'cubrir', 'pauta']",@CarlosSuniagaG And you didn't go to cover that guideline 🤭,"['carlossuniagag', 'go', 'cover', 'guideline']"
"Un ejemplo de anarquía, resultado de un ""plan especial"" que solo crea más caos y el problema del desabastecimiento de gasolina sigue.","['ejemplo', 'anarquía', 'resultado', 'plan', 'especial', 'solo', 'crea', 'caos', 'problema', 'desabastecimiento', 'gasolina', 'sigue']","An example of anarchy, the result of a ""special plan"" that only creates more chaos and the problem of gasoline shortages continues.","['example', 'anarchy', 'result', 'special', 'plan', 'creates', 'chaos', 'problem', 'gasoline', 'shortages', 'continues']"
#ServicioPublico La niña Fernanda Márquez fue diagnosticada con COVID-19 y requiere de nuestra ayuda urgente  https://t.co/g21ESrXNks,"['serviciopublico', 'niña', 'fernanda', 'márquez', 'diagnosticada', 'covid', 'requiere', 'ayuda', 'urgente']",#ServicioPublico The girl Fernanda Márquez was diagnosed with COVID-19 and requires our urgent help https://t.co/g21ESrXNks,"['serviciopublico', 'girl', 'fernanda', 'márquez', 'diagnosed', 'covid', 'requires', 'urgent', 'help']"
El 30 de junio se acababan las colas de gasolina segun @TareckPSUV Cuando no hay cola es porque ni combustible hay en Bolívar.,"['junio', 'acababan', 'colas', 'gasolina', 'segun', 'tareckpsuv', 'cola', 'combustible', 'bolívar']","On June 30, the gasoline queues ran out according to @TareckPSUV When there is no queue it is because there is no fuel in Bolívar.","['june', 'gasoline', 'queues', 'ran', 'according', 'tareckpsuv', 'queue', 'fuel', 'bolívar']"
@Celyspc @dravillegasm Estar vacunados reduce los riesgos pero no impide que nos contagiemos y contagiemos a otros. Por eso se insiste en mantener las medidas de bioseguridad,"['celyspc', 'dravillegasm', 'vacunados', 'reduce', 'riesgos', 'impide', 'contagiemos', 'contagiemos', 'insiste', 'mantener', 'medidas', 'bioseguridad']",@Celyspc @dravillegasm Being vaccinated reduces the risks but does not prevent us from becoming infected and infecting others. That is why it insists on maintaining biosafety measures,"['celyspc', 'dravillegasm', 'vaccinated', 'reduces', 'risks', 'prevent', 'us', 'becoming', 'infected', 'infecting', 'others', 'insists', 'maintaining', 'biosafety', 'measures']"
"@dravillegasm Hace varias semanas lo comentaba con colegas y enfermeras. Veíamos cierta baja en los casos y presumimos que podría ser esa ""inmunidad"" en las personas que se contagiaron y recuperaron, pero al pasar los meses vendría nuevamente el repunte porque se estaban confiando.","['dravillegasm', 'hace', 'varias', 'semanas', 'comentaba', 'colegas', 'enfermeras', 'veíamos', 'cierta', 'baja', 'casos', 'presumimos', 'podría', 'ser', 'inmunidad', 'personas', 'contagiaron', 'recuperaron', 'pasar', 'meses', 'vendría', 'nuevamente', 'repunte', 'confiando']","@dravillegasm Several weeks ago I was talking about it with colleagues and nurses. We saw a certain drop in the cases and we presume that it could be that ""immunity"" in the people who were infected and recovered, but as the months passed the rebound would come again because they were trusting themselves.","['dravillegasm', 'several', 'weeks', 'ago', 'talking', 'colleagues', 'nurses', 'saw', 'certain', 'drop', 'cases', 'presume', 'could', 'immunity', 'people', 'infected', 'recovered', 'months', 'passed', 'rebound', 'would', 'come', 'trusting']"
"Continuarán las colas este miércoles #7Jul con el limitado ""plan especial"" de despacho de gasolina en Bolívar  https://t.co/yJ2HwlxqgG","['continuarán', 'colas', 'miércoles', 'jul', 'limitado', 'plan', 'especial', 'despacho', 'gasolina', 'bolívar']","The queues will continue this Wednesday # 7Jul with the limited ""special plan"" for gasoline dispatch in Bolívar https://t.co/yJ2HwlxqgG","['queues', 'continue', 'wednesday', 'jul', 'limited', 'special', 'plan', 'gasoline', 'dispatch', 'bolívar']"
"@ruthsara2004 Hola, Damelys. Me gustaría contactar contigo. Sinouedes seguirme para escribirte por mensaje directo","['ruthsara', 'hola', 'damelys', 'gustaría', 'contactar', 'contigo', 'sinouedes', 'seguirme', 'escribirte', 'mensaje', 'directo']",@ ruthsara2004 Hi Damelys. I would like to contact you. If you cannot follow me to write you by direct message,"['ruthsara', 'hi', 'damelys', 'would', 'like', 'contact', 'cannot', 'follow', 'write', 'direct', 'message']"
"@dravillegasm Yo también busco para mi papá y ha estado difícil. Me dicen que suele conseguirse en Farmart (donde está Civeta), pregunté hace como 3 días y nada. También me dijeron que en la botiquería de la redoma El Dorado y por Villa Bahía, entrando por la chicharronera.","['dravillegasm', 'busco', 'papá', 'difícil', 'dicen', 'suele', 'conseguirse', 'farmart', 'civeta', 'pregunté', 'hace', 'días', 'dijeron', 'botiquería', 'redoma', 'dorado', 'villa', 'bahía', 'entrando', 'chicharronera']","@dravillegasm I also look for my dad and it has been difficult. They tell me that it is usually obtained in Farmart (where Civeta is), I asked about 3 days ago and nothing. They also told me that in the botiquería of the El Dorado vial and through Villa Bahía, entering through the chicharronera.","['dravillegasm', 'also', 'look', 'dad', 'difficult', 'tell', 'usually', 'obtained', 'farmart', 'civeta', 'asked', 'days', 'ago', 'nothing', 'also', 'told', 'botiquería', 'el', 'dorado', 'vial', 'villa', 'bahía', 'entering', 'chicharronera']"
"Hace apenas 5 días, el profe Carlos Ortíz relataba su experiencia con el COVID-19. Lamentablemente falleció esta madrugada. QEPD y mucha fortaleza para su familia en este momento tan duro.","['hace', 'apenas', 'días', 'profe', 'carlos', 'ortíz', 'relataba', 'experiencia', 'covid', 'lamentablemente', 'falleció', 'madrugada', 'qepd', 'mucha', 'fortaleza', 'familia', 'momento', 'tan', 'duro']","Just 5 days ago, the teacher Carlos Ortíz recounted his experience with COVID-19. He unfortunately he passed away this morning. RIP and a lot of strength for his family at this difficult time.","['days', 'ago', 'teacher', 'carlos', 'ortíz', 'recounted', 'experience', 'covid', 'unfortunately', 'passed', 'away', 'morning', 'rip', 'lot', 'strength', 'family', 'difficult', 'time']"
"@MarialinLacourt Se necesita récipe, amiga. De todas maneras, gracias.","['marialinlacourt', 'necesita', 'récipe', 'amiga', 'todas', 'maneras', 'gracias']","@MarialinLacourt Recipe needed, friend. Anyway, thank you.","['marialinlacourt', 'recipe', 'needed', 'friend', 'anyway', 'thank']"
@anguloanamaria Ya fui y nada 😔,['anguloanamaria'],@anguloanamaria I already went and nothing 😔,"['anguloanamaria', 'already', 'went', 'nothing']"
"#ServicioPublico En #PuertoOrdaz busco #URGENTE Fenobarbital de 100 mg para mi papá. He preguntado en muchas farmacias y me dicen que tienen tiempo que no les llega. Si saben dónde puedo conseguirla, se los agradezco.","['serviciopublico', 'puertoordaz', 'busco', 'urgente', 'fenobarbital', 'mg', 'papá', 'preguntado', 'muchas', 'farmacias', 'dicen', 'tiempo', 'llega', 'si', 'saben', 'dónde', 'puedo', 'conseguirla', 'agradezco']","#ServicioPublico In #PuertoOrdaz I am looking for #URGENTE 100 mg phenobarbital for my dad. I have asked in many pharmacies and they tell me that they have not enough time. If you know where I can get it, I appreciate it.","['serviciopublico', 'puertoordaz', 'looking', 'urgente', 'mg', 'phenobarbital', 'dad', 'asked', 'many', 'pharmacies', 'tell', 'enough', 'time', 'know', 'get', 'appreciate']"
Continúa el Plan Especial de despacho de gasolina solo en 2 E/S en Bolívar.  Este #5Jul despacharán combustible en la E/S Tepuy (Ciudad Bolívar) y Kanavayen (San Félix) solo a terminal de placa 2. Dicen que es un plan adicional al que se lleva en el resto de las EDS.  https://t.co/0W8P4wodMO,"['continúa', 'plan', 'especial', 'despacho', 'gasolina', 'solo', 'bolívar', 'jul', 'despacharán', 'combustible', 'tepuy', 'ciudad', 'bolívar', 'kanavayen', 'san', 'félix', 'solo', 'terminal', 'placa', 'dicen', 'plan', 'adicional', 'lleva', 'resto', 'eds']",The Special Plan for gasoline dispatch continues only in 2 I / O in Bolívar. This # 5Jul will dispatch fuel at the I / O Tepuy (Ciudad Bolívar) and Kanavayen (San Félix) only to plate terminal 2. They say that it is an additional plan to that carried out in the rest of the EDS. https://t.co/0W8P4wodMO,"['special', 'plan', 'gasoline', 'dispatch', 'continues', 'bolívar', 'jul', 'dispatch', 'fuel', 'tepuy', 'ciudad', 'bolívar', 'kanavayen', 'san', 'félix', 'plate', 'terminal', 'say', 'additional', 'plan', 'carried', 'rest', 'eds']"
Así quedaron las postulaciones para las primarias del PSUV en Bolívar y Caroní. José Ramón López y Ángel Marcano no figuran en la lista. Hay descontento en las bases del partido.  https://t.co/YE6fT6FsCk,"['así', 'quedaron', 'postulaciones', 'primarias', 'psuv', 'bolívar', 'caroní', 'josé', 'ramón', 'lópez', 'ángel', 'marcano', 'figuran', 'lista', 'descontento', 'bases', 'partido']",Thus were the applications for the PSUV primaries in Bolívar and Caroní. José Ramón López and Ángel Marcano are not on the list. There is discontent in the rank and file of the party. https://t.co/YE6fT6FsCk,"['thus', 'applications', 'psuv', 'primaries', 'bolívar', 'caroní', 'josé', 'ramón', 'lópez', 'ángel', 'marcano', 'list', 'discontent', 'rank', 'file', 'party']"
"@carito_cord Quizás a los primeros. Mi hermano acaba de salir y anotaron sus datos sin buscarlo previamente, él fue por segunda dosis.","['carito', 'cord', 'quizás', 'primeros', 'hermano', 'acaba', 'salir', 'anotaron', 'datos', 'buscarlo', 'previamente', 'segunda', 'dosis']","@carito_cord Maybe the first ones. My brother just left and they wrote down his data without looking for it previously, he went for the second dose.","['carito', 'cord', 'maybe', 'first', 'ones', 'brother', 'left', 'wrote', 'data', 'without', 'looking', 'previously', 'went', 'second', 'dose']"
"@carito_cord Los que llegaron temprano hoy duraron eso más o menos para la segunda, pero otros están desde las 9am. 4:54 pm y no han salido deo CTE","['carito', 'cord', 'llegaron', 'temprano', 'hoy', 'duraron', 'menos', 'segunda', 'am', 'pm', 'salido', 'deo', 'cte']","@carito_cord Those who arrived early today lasted more or less for the second, but others are from 9am. 4:54 pm and they have not left deo CTE","['carito', 'cord', 'arrived', 'early', 'today', 'lasted', 'less', 'second', 'others', 'pm', 'left', 'deo', 'cte']"
11:30 am. Ahora la lluvia y siguen personas en cola en el CTE Cachamay. Quedan solo los qie les corresponde la segunda dosis. La gente presumen que no metieron más personal para atender a los dos grupos (1ra y 2da dosis) y por eso esta vez fue más lento el proceso #Guayana  https://t.co/G5Zw9Si13M,"['am', 'ahora', 'lluvia', 'siguen', 'personas', 'cola', 'cte', 'cachamay', 'quedan', 'solo', 'qie', 'corresponde', 'segunda', 'dosis', 'gente', 'presumen', 'metieron', 'personal', 'atender', 'dos', 'grupos', 'ra', 'da', 'dosis', 'vez', 'lento', 'proceso', 'guayana']",11:30 am. Now the rain and people are still in line at the CTE Cachamay. Only those who are entitled to the second dose remain. People presume that they did not bring in more personnel to attend the two groups (1st and 2nd doses) and that is why this time the process was slower #Guayana https://t.co/G5Zw9Si13M,"['rain', 'people', 'still', 'line', 'cte', 'cachamay', 'entitled', 'second', 'dose', 'remain', 'people', 'presume', 'bring', 'personnel', 'attend', 'two', 'groups', 'st', 'nd', 'doses', 'time', 'process', 'slower', 'guayana']"
@LaTuristaKAM En el CTE sí,"['laturistakam', 'cte']",@LaTuristaKAM In the CTE yes,"['laturistakam', 'cte', 'yes']"
"#28Jun 9:48 am. La cola para quienes van a recibir la 2da dosis de Sinopharm en el CTE Cachamay pasa del túnel a la altura del elevado de la Av. Guayana. Avanza aproximadamente cada 15 minutos. Hay otra cola, mas corta, para los que van por la 1ra dosis #Guayana  https://t.co/6S7X15Dn3L","['jun', 'am', 'cola', 'van', 'recibir', 'da', 'dosis', 'sinopharm', 'cte', 'cachamay', 'pasa', 'túnel', 'altura', 'elevado', 'av', 'guayana', 'avanza', 'aproximadamente', 'cada', 'minutos', 'cola', 'mas', 'corta', 'van', 'ra', 'dosis', 'guayana']","# 28Jun 9:48 am. The queue for those who are going to receive the 2nd dose of Sinopharm at CTE Cachamay passes the tunnel at the height of Av. Guayana. Advance approximately every 15 minutes. There is another queue, shorter, for those who go for the 1st dose #Guayana https://t.co/6S7X15Dn3L","['jun', 'queue', 'going', 'receive', 'nd', 'dose', 'sinopharm', 'cte', 'cachamay', 'passes', 'tunnel', 'height', 'av', 'guayana', 'advance', 'approximately', 'every', 'minutes', 'another', 'queue', 'shorter', 'go', 'st', 'dose', 'guayana']"
Para los que hoy celebramos nuestra relación más duradera 🤭🤭 Feliz día a mis queridos colegas @PableOstos @CarlosSuniagaG @gladylisflores @elbriandix @dalenigallardo @ChainneChang @thaisbeloh @saracrespo_c @MariemElDia @qbirmania @jorgemuziotti @igarcia100 y a todos los demás🤣  https://t.co/jsM3h5I7IS,"['hoy', 'celebramos', 'relación', 'duradera', '🤭🤭', 'feliz', 'día', 'queridos', 'colegas', 'pableostos', 'carlossuniagag', 'gladylisflores', 'elbriandix', 'dalenigallardo', 'chainnechang', 'thaisbeloh', 'saracrespo', 'mariemeldia', 'qbirmania', 'jorgemuziotti', 'igarcia', 'demás🤣']",For those of us who today celebrate our most lasting relationship 🤭🤭 Happy day to my dear colleagues @PableOstos @CarlosSuniagaG @gladylisflores @elbriandix @dalenigallardo @ChainneChang @thaisbeloh @saracrespo_c @MariemElDia @qbirmania @jorgemuziotti @ igarcia100: t.co/jsM3h5I7IS,"['us', 'today', 'celebrate', 'lasting', 'relationship', '🤭🤭', 'happy', 'day', 'dear', 'colleagues', 'pableostos', 'carlossuniagag', 'gladylisflores', 'elbriandix', 'dalenigallardo', 'chainnechang', 'thaisbeloh', 'saracrespo', 'mariemeldia', 'qbirmania', 'jorgemuziotti', 'igarcia', 'co', 'jsm']"
Para que por fa... no lo sigan haciendo.,"['fa', 'sigan', 'haciendo']",So that by fa ... don't keep doing it.,"['fa', 'keep']"
@ChainneChang @Camilagon Ya las probé y son deliciosas 🍕🤤,"['chainnechang', 'camilagon', 'probé', 'deliciosas', '🍕🤤']",@ChainneChang @Camilagon I already tried them and they are delicious 🍕🤤,"['chainnechang', 'camilagon', 'already', 'tried', 'delicious', '🍕🤤']"
Y yo quejándome de dos horas 🤣,"['quejándome', 'dos', 'horas']",And me complaining for two hours 🤣,"['complaining', 'two', 'hours']"
@lmaracara Mientras que aquí siguen haciendo sus propios acuerdos como si nadie se está dando cuenta,"['lmaracara', 'mientras', 'aquí', 'siguen', 'haciendo', 'propios', 'acuerdos', 'si', 'nadie', 'dando', 'cuenta']",@lmaracara While here they continue to make their own agreements as if nobody is noticing,"['lmaracara', 'continue', 'make', 'agreements', 'nobody', 'noticing']"
@JesusG287 @TelloBJr Fuera de joda,"['jesusg', 'tellobjr', 'joda']",@ JesusG287 @TelloBJr Fuck off,"['jesusg', 'tellobjr', 'fuck']"
