tweet,tweet_tokenized,tweet_translated,tweet_tokenized_translated,sentimiento
Wont use using @mothercareuk @Mothercarehelp again!! These guys cant get nothing right!! #fuming,"['wont', 'use', 'using', '@mothercareuk', '@mothercarehelp', 'again!!', 'guys', 'cant', 'get', 'nothing', 'right!!', '#fuming']",Wont use using @mothercareuk @Mothercarehelp again!! These guys cant get nothing right!! #fuming,"['wont', 'use', 'using', '@mothercareuk', '@mothercarehelp', 'again!!', 'guys', 'cant', 'get', 'nothing', 'right!!', '#fuming']",ira
Wont use using @mothercareuk @Mothercarehelp again!! These guys cant get nothing right!! ,"['wont', 'use', 'using', '@mothercareuk', '@mothercarehelp', 'again!!', 'guys', 'cant', 'get', 'nothing', 'right!!']",Wont use using @mothercareuk @Mothercarehelp again!! These guys cant get nothing right!! ,"['wont', 'use', 'using', '@mothercareuk', '@mothercarehelp', 'again!!', 'guys', 'cant', 'get', 'nothing', 'right!!']",ira
wonder if at any point #BobMarley ever actually became #afraid of just how #high he'd gotten. :o #420,"['wonder', 'point', '#bobmarley', 'ever', 'actually', 'became', '#afraid', '#high', ""he'd"", 'gotten.', ':o', '#420']",wonder if at any point #BobMarley ever actually became #afraid of just how #high he'd gotten. :o #420,"['wonder', 'point', '#bobmarley', 'ever', 'actually', 'became', '#afraid', '#high', ""he'd"", 'gotten.', ':o', '#420']",miedo
Women don't like girls because we resent them for looking so great/we wish we still looked like that  #washed,"['women', 'like', 'girls', 'resent', 'looking', 'great/we', 'wish', 'still', 'looked', 'like', '#washed']",Women don't like girls because we resent them for looking so great/we wish we still looked like that  #washed,"['women', 'like', 'girls', 'resent', 'looking', 'great/we', 'wish', 'still', 'looked', 'like', '#washed']",ira
"Woke by #nightmare @ 3AM, couldn't sleep any more, so took a #UseAllTheHotWaterShower. Now I have time to read.","['woke', '#nightmare', '3am,', 'sleep', 'more,', 'took', '#useallthehotwatershower.', 'time', 'read.']","Woke by #nightmare @ 3AM, couldn't sleep any more, so took a #UseAllTheHotWaterShower. Now I have time to read.","['woke', '#nightmare', '3am,', 'sleep', 'more,', 'took', '#useallthehotwatershower.', 'time', 'read.']",miedo
"With what moral quality would they do it, if they spend on flights from Venezuela without any justification.","['moral', 'quality', 'would', 'it,', 'spend', 'flights', 'venezuela', 'without', 'justification.']","With what moral quality would they do it, if they spend on flights from Venezuela without any justification.","['moral', 'quality', 'would', 'it,', 'spend', 'flights', 'venezuela', 'without', 'justification.']",felicidad
"With the left there is no quality of life, look how Venezuela is, or why do you think all your young people had to flee the country and do not want to return?","['left', 'quality', 'life,', 'look', 'venezuela', 'is,', 'think', 'young', 'people', 'flee', 'country', 'want', 'return?']","With the left there is no quality of life, look how Venezuela is, or why do you think all your young people had to flee the country and do not want to return?","['left', 'quality', 'life,', 'look', 'venezuela', 'is,', 'think', 'young', 'people', 'flee', 'country', 'want', 'return?']",tristeza
"With the burning of the houses of the humble recyclers and the murder of the children in the Core, it is enough and enough to go out and burn this whole fucking country! ","['burning', 'houses', 'humble', 'recyclers', 'murder', 'children', 'core,', 'enough', 'enough', 'go', 'burn', 'whole', 'fucking', 'country!']","With the burning of the houses of the humble recyclers and the murder of the children in the Core, it is enough and enough to go out and burn this whole fucking country! ","['burning', 'houses', 'humble', 'recyclers', 'murder', 'children', 'core,', 'enough', 'enough', 'go', 'burn', 'whole', 'fucking', 'country!']",ira
"With that draw, the scum must be rubbing their hands with glee! Typical draw for the Woolwich lot!!! #jammygunnerscum","['draw,', 'scum', 'must', 'rubbing', 'hands', 'glee!', 'typical', 'draw', 'woolwich', 'lot!!!', '#jammygunnerscum']","With that draw, the scum must be rubbing their hands with glee! Typical draw for the Woolwich lot!!! #jammygunnerscum","['draw,', 'scum', 'must', 'rubbing', 'hands', 'glee!', 'typical', 'draw', 'woolwich', 'lot!!!', '#jammygunnerscum']",felicidad
With loyal heart is concerned. #somber,"['loyal', 'heart', 'concerned.', '#somber']",With loyal heart is concerned. #somber,"['loyal', 'heart', 'concerned.', '#somber']",tristeza
Wishing i was rich so i didnt have to get up this morning #poor #sleepy #restless #sad #needsmoresleep,"['wishing', 'rich', 'didnt', 'get', 'morning', '#poor', '#sleepy', '#restless', '#sad', '#needsmoresleep']",Wishing i was rich so i didnt have to get up this morning #poor #sleepy #restless #sad #needsmoresleep,"['wishing', 'rich', 'didnt', 'get', 'morning', '#poor', '#sleepy', '#restless', '#sad', '#needsmoresleep']",miedo
Wishing i was rich so i didnt have to get up this morning #poor #sleepy  #sad #needsmoresleep,"['wishing', 'rich', 'didnt', 'get', 'morning', '#poor', '#sleepy', '#sad', '#needsmoresleep']",Wishing i was rich so i didnt have to get up this morning #poor #sleepy  #sad #needsmoresleep,"['wishing', 'rich', 'didnt', 'get', 'morning', '#poor', '#sleepy', '#sad', '#needsmoresleep']",miedo
"Wishing a very Happy Birthday to our awesome dancer, Ruthann!!! We hope your day is magical! #bday #happy #eatcake","['wishing', 'happy', 'birthday', 'awesome', 'dancer,', 'ruthann!!!', 'hope', 'day', 'magical!', '#bday', '#happy', '#eatcake']","Wishing a very Happy Birthday to our awesome dancer, Ruthann!!! We hope your day is magical! #bday #happy #eatcake","['wishing', 'happy', 'birthday', 'awesome', 'dancer,', 'ruthann!!!', 'hope', 'day', 'magical!', '#bday', '#happy', '#eatcake']",felicidad
"Wishing a very Happy Birthday to our awesome dancer, Ruthann!!! We hope your day is magical! #bday  #eatcake","['wishing', 'happy', 'birthday', 'awesome', 'dancer,', 'ruthann!!!', 'hope', 'day', 'magical!', '#bday', '#eatcake']","Wishing a very Happy Birthday to our awesome dancer, Ruthann!!! We hope your day is magical! #bday  #eatcake","['wishing', 'happy', 'birthday', 'awesome', 'dancer,', 'ruthann!!!', 'hope', 'day', 'magical!', '#bday', '#eatcake']",felicidad
Wish I was a kid again. The only stressful part was whether Gabriella and Troy would get back together or not. #hsm2 #nightmare,"['wish', 'kid', 'again.', 'stressful', 'part', 'whether', 'gabriella', 'troy', 'would', 'get', 'back', 'together', 'not.', '#hsm2', '#nightmare']",Wish I was a kid again. The only stressful part was whether Gabriella and Troy would get back together or not. #hsm2 #nightmare,"['wish', 'kid', 'again.', 'stressful', 'part', 'whether', 'gabriella', 'troy', 'would', 'get', 'back', 'together', 'not.', '#hsm2', '#nightmare']",miedo
Wish I was a kid again. The only stressful part was whether Gabriella and Troy would get back together or not. #hsm2 ,"['wish', 'kid', 'again.', 'stressful', 'part', 'whether', 'gabriella', 'troy', 'would', 'get', 'back', 'together', 'not.', '#hsm2']",Wish I was a kid again. The only stressful part was whether Gabriella and Troy would get back together or not. #hsm2 ,"['wish', 'kid', 'again.', 'stressful', 'part', 'whether', 'gabriella', 'troy', 'would', 'get', 'back', 'together', 'not.', '#hsm2']",miedo
Wish I could convince the rest of my children to go to their fucking preschool and elementary schools with fear of gun violence.,"['wish', 'could', 'convince', 'rest', 'children', 'go', 'fucking', 'preschool', 'elementary', 'schools', 'fear', 'gun', 'violence.']",Wish I could convince the rest of my children to go to their fucking preschool and elementary schools with fear of gun violence.,"['wish', 'could', 'convince', 'rest', 'children', 'go', 'fucking', 'preschool', 'elementary', 'schools', 'fear', 'gun', 'violence.']",miedo
will i ever get the nerve to quit the restaurant ??? find out tonite on glee!,"['ever', 'get', 'nerve', 'quit', 'restaurant', '???', 'find', 'tonite', 'glee!']",will i ever get the nerve to quit the restaurant ??? find out tonite on glee!,"['ever', 'get', 'nerve', 'quit', 'restaurant', '???', 'find', 'tonite', 'glee!']",felicidad
Why mfs so bitter,"['mfs', 'bitter']",Why mfs so bitter,"['mfs', 'bitter']",ira
Why is it when you nap during the day you are so comfortable but sleeping at night you'll never be as comfortable #nightmare,"['nap', 'day', 'comfortable', 'sleeping', 'night', 'never', 'comfortable', '#nightmare']",Why is it when you nap during the day you are so comfortable but sleeping at night you'll never be as comfortable #nightmare,"['nap', 'day', 'comfortable', 'sleeping', 'night', 'never', 'comfortable', '#nightmare']",miedo
Why is it when you nap during the day you are so comfortable but sleeping at night you'll never be as comfortable ,"['nap', 'day', 'comfortable', 'sleeping', 'night', 'never', 'comfortable']",Why is it when you nap during the day you are so comfortable but sleeping at night you'll never be as comfortable ,"['nap', 'day', 'comfortable', 'sleeping', 'night', 'never', 'comfortable']",miedo
Why is it that we rejoice at a birth and grieve at a funeral? It is because we are not the person involved. ― Mark Twain,"['rejoice', 'birth', 'grieve', 'funeral?', 'person', 'involved.', 'mark', 'twain']",Why is it that we rejoice at a birth and grieve at a funeral? It is because we are not the person involved. ― Mark Twain,"['rejoice', 'birth', 'grieve', 'funeral?', 'person', 'involved.', 'mark', 'twain']",tristeza
Why have I only just started watching glee this week I am now addicted 🙄 #glee #GLEEK,"['started', 'watching', 'glee', 'week', 'addicted', '#glee', '#gleek']",Why have I only just started watching glee this week I am now addicted 🙄 #glee #GLEEK,"['started', 'watching', 'glee', 'week', 'addicted', '#glee', '#gleek']",felicidad
Why have I only just started watching glee this week I am now addicted 🙄  #GLEEK,"['started', 'watching', 'glee', 'week', 'addicted', '#gleek']",Why have I only just started watching glee this week I am now addicted 🙄  #GLEEK,"['started', 'watching', 'glee', 'week', 'addicted', '#gleek']",felicidad
