,si,negociación,cambio,maduro,oposición,país,sanciones,política,gob,puede,gobierno,venezuela,vzla,problema,diésel,pues,políticos,crisis,estrategia,elección,político,ahora,acuerdos,usa,hoy,población,gente,poder,sino,condiciones,siempre,cambios,ser,votar,gracias,lucha,aunque,confianza,hace,claro,negociar,proceso,menos,frente,moneda,sector,participación,mismo,vida,guaidó,cualquier,abstención,tiempo,internacional,sólo,va,elecciones,capacidad,parte,negociaciones,¿qué,parece,partes,posibilidad,divisas,resolver,ayuda,control,hacer,acuerdo,economía,interna,mayoría,humanitarios,debe,biden,allá,puedes,opo,importante,mientras,todas,evento,realidad,humanitaria,apertura,pob,real,éxito,producción,instituciones,acción,decisión,abastecimiento,obvio,resultado,tema,tener,países,ninguna,tweet_tokenized
11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['listos', 'para', 'comenzar', 'nuestro', 'evento', 'de', 'tendencias', 'del', 'consumidor', 'vzlano', 'casa', 'completamente', 'llena', 'acompañados', 'por', 'un', 'grupo', 'estelar', 'de', 'empresas', 'que', 'muestran', 'día', 'día', 'su', 'compromiso', 'para', 'atender', 'al', 'consumidor', 'más', 'allá', 'de', 'la', 'crisis', 'gracias', 'todos', 'nos', 'vemos', 'en', 'un', 'momento']"
12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['lamento', 'el', 'fallecimiento', 'de', 'la', 'sra', 'adnaloy', 'zamora', 'madre', 'de', 'nuestros', 'grandes', 'amigos', 'gabriel', 'miguel', 'osio', 'zamora', 'envío', 'un', 'abrazo', 'toda', 'mi', 'solidaridad', 'para', 'ellos', 'sus', 'hermanas', 'familiares', 'amigos', 'que', 'los', 'recuerdos', 'felices', 'la', 'mantengan', 'siempre', 'viva', 'en', 'sus', 'mentes', 'corazones']"
13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['mañana', 'conversando', 'con', 'laureanomar\u2069', 'en', 'su', 'instagram', 'live', 'camino', 'su', 'monólogo', 'el', 'miedo”', 'que', 'realizará', 'en', 'streaming', 'el', 'próximo', 'de', 'junio', 'las', 'pm', 'nos', 'vemos']"
14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['en', 'la', 'recta', 'final', 'para', 'nuestro', 'evento', 'tendencias', 'del', 'consumidor', 'venezolano', 'que', 'se', 'realizará', 'el', 'jueves', 'las', 'am', 'gracias', 'patrocinantes', 'participantes', 'quienes', 'superaron', 'con', 'creces', 'todas', 'nuestras', 'expectativas', 'es', 'un', 'honor', 'contar', 'siempre', 'con', 'su', 'confianza', 'interés', 'nos', 'vemos']"
15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['fue', 'un', 'placer', 'compartir', 'con', 'ustedes…', 'como', 'siempre']"
16,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"['francisco', 'puedes', 'pedir', 'lo', 'que', 'quieras', 'merezcas', 'la', 'pregunta', 'real', 'es', 'si', 'te', 'lo', 'van', 'dar', 'lo', 'puedes', 'conseguir', 'la', 'respuesta', 'es', 'obviamente', 'no', 'con', 'ese', 'marco', 'se', 'analiza', 'la', 'realidad', 'no', 'con', 'base', 'en', 'los', 'deseos', 'derechos', 'incluso', 'merecidos']"
17,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['luisdiazt', 'no', 'existe', 'posibilidad', 'de', 'que', 'se', 'liberen', 'sin', 'conseguir', 'el', 'quid', 'pro', 'quo', 'algo', 'cambio', 'eso', 'sólo', 'se', 'logra', 'negociando', 'pero', 'las', 'sanciones', 'que', 'generan', 'costos', 'humanitarios', 'sin', 'afectar', 'al', 'gobierno', 'han', 'sido', 'un', 'error', 'desde', 'el', 'principio', 'deben', 'ser', 'retiradas', 'cuanto', 'antes']"
18,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['ielviento', '¿y', 'quien', 'dijo', 'que', 'votar', 'sin', 'una', 'estrategia', 'ha', 'funcionado', 'si', 'así', 'fuera', 'no', 'estaríamos', 'aquí', 'lo', 'que', 'significa', 'decir', 'que', 'votar', 'no', 'votar', 'no', 'es', 'el', 'dilema', 'es', 'que', 'ninguno', 'sirve', 'sin', 'estrategia', 'pues', 'tu', 'argumento', 'deberías', 'agregar', 'que', 'abstenerse', 'sin', 'ella', 'ha', 'sido', 'incluso', 'peor']"
19,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['irja', 'no', 'lo', 'que', 'estoy', 'sugiriendo', 'es', 'que', 'ese', 'no', 'es', 'el', 'problema', 'votar', 'no', 'votar', 'no', 'es', 'el', 'dilema', 'usas', 'un', 'ejemplo', 'cierto', 'votar', 'sin', 'estrategia', 'no', 'sirvió', 'solo', 'falta', 'indicar', 'que', 'no', 'votar', 'varias', 'veces', 'sin', 'estrategia', 'tampoco', 'entonces', 'el', 'problema', 'es', 'la', 'estrategia', 'no', 'voto', 'abstención']"
20,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['tolosalila', '¿mis', 'palabras', 'la', 'realidad', 'país']"
21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['gracias', 'lacelis', 'nelsonbocaranda', 'por', 'su', 'invitación', 'conversar', 'sobre', 'nuestro', 'estudio', 'del', 'perfil', 'del', 'consumidor', 'que', 'presentaremos', 'el', 'próximo', 'de', 'junio', 'las', 'pm', 'eventos', 'datanalisis', 'com', 'datanalisis', 'nos', 'vemos', 'ahí']"
22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['muchas', 'gracias']"
23,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['mi', 'me', 'parece', 'más', 'importante', 'que', 'le', 'hagan', 'caso', 'la', 'racionalidad', 'política', 'no', 'los', 'intereses', 'personale', 'las', 'encuestas', 'no', 'son', 'más', 'que', 'un', 'instrumento', 'de', 'ayuda', 'en', 'sus', 'decisiones', 'pero', 'nunca', 'reemplazarán', 'la', 'lógica']"
24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['prefiero', 'reconvertir', 'tu', 'pregunta', 'una', 'más', 'enfocada', 'deben', 'los', 'venezolanos', 'luchar', 'desarrollar', 'estrategias', 'distintas', 'las', 'que', 'los', 'han', 'traído', 'hasta', 'acá', 'es', 'decir', 'la', 'nada', 'vale', 'la', 'pena', 'insistir', 'en', 'lo', 'mismo', 'que', 'llegará', 'obviamente', 'lo', 'mismo']"
25,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['como', 'en', 'todo', 'proceso', 'distorsionado', 'la', 'inflación', 'en', 'venezuela', 'es', 'multifactorial', 'por', 'supuesto', 'hay', 'campo', 'para', 'la', 'especulación', 'pero', 'esa', 'no', 'es', 'la', 'base', 'del', 'problema', 'se', 'trata', 'de', 'la', 'combinación', 'de', 'pérdida', 'total', 'de', 'confianza', 'institucional', 'en', 'la', 'moneda', 'de', 'un', 'desequilibrio', 'fiscal']"
26,1,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['todas', 'las', 'partes', 'que', 'comienzan', 'una', 'negociación', 'política', 'económica', 'laboral', 'etc', 'comienzan', 'pidiendo', 'mucho', 'más', 'de', 'lo', 'que', 'están', 'dispuestos', 'aceptar', 'eso', 'va', 'pasar', 'tanto', 'en', 'gobierno', 'como', 'en', 'oposición', 'en', 'este', 'caso', 'pero', 'eso', 'se', 'diluye', 'en', 'la', 'negociación', 'si', 'esta', 'ocurre']"
27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['las', 'vacunas', 'chinas', 'rusas', 'suministradas', 'oficialmente', 'ahora', 'son', 'las', 'originales', 'aunque', 'insuficientes', 'entregadas', 'de', 'manera', 'sesgada', 'las', 'que', 'vengan', 'de', 'acuerdos', 'humanitarios', 'serán', 'también', 'impecables', 'pero', 'no', 'están', 'cerca', 'las', 'vacunas', 'bachaqueadas', 'son', 'de', 'un', 'peligro', 'incalculable']"
28,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,"['es', 'temprano', 'para', 'hacer', 'estimaciones', 'dependerá', 'del', 'resultado', 'de', 'las', 'negociaciones', 'los', 'cambios', 'de', 'condiciones', 'los', 'acuerdos', 'en', 'la', 'oposición', 'los', 'partidos', 'líderes', 'que', 'las', 'promuevan', 'la', 'observación', 'internacional', 'la', 'liberación', 'de', 'presos', 'políticos', 'inhabilitados', 'mucho', 'más']"
29,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['depende', 'de', 'las', 'expectativas', 'la', 'demanda', 'maduro', 'de', 'liberación', 'inmediata', 'de', 'sanciones', 'negociación', 'pública', 'no', 'tiene', 'posibilidad', 'de', 'lograrse', 'la', 'demanda', 'opositoras', 'de', 'convocar', 'una', 'elección', 'presidencial', 'transparente', 'un', 'rr', 'también', 'es', 'nula', 'los', 'acuerdos', 'posibles', 'estarán', 'en', 'el', 'medio']"
30,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['la', 'mayoría', 'contundente', 'de', 'la', 'población', 'quiere', 'una', 'negociación', 'política', 'para', 'resolver', 'el', 'problema', 'del', 'país', 'sin', 'embargo', 'sólo', 'una', 'pequeña', 'minoría', 'confía', 'en', 'que', 'será', 'exitosa', 'ahora', 'mismo', 'en', 'lograr', 'ese', 'objetivo', 'deseado', 'por', 'eso', 'es', 'tan', 'importante', 'definir', 'las', 'expectativas', 'correctas']"
31,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['tu', 'punto', 'es', 'el', 'más', 'relevante', 'una', 'estrategia', 'de', 'aislamiento', 'al', 'gol', 'vzlano', 'que', 'expulsa', 'amenaza', 'los', 'inversionistas', 'clásicos', 'termina', 'produciendo', 'una', 'evidente', 'desoccidentalización', 'del', 'país', 'que', 'es', 'cada', 'vez', 'más', 'penetrado', 'econ', 'políticamente', 'por', 'los', 'adversarios', 'de', 'occidente']"
32,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['esa', 'será', 'una', 'búsqueda', 'central', 'del', 'proceso', 'de', 'negociación', 'política', 'pero', 'las', 'probabilidades', 'de', 'que', 'eso', 'ocurra', 'son', 'bastante', 'bajas', 'es', 'mucho', 'mas', 'probable', 'que', 'haya', 'participación', 'parcial', 'lo', 'cual', 'siempre', 'será', 'más', 'débil']"
33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"['los', 'resultados', 'de', 'la', 'abstención', 'presidencial', 'parlamentaria', 'son', 'mucho', 'más', 'potentes', 'que', 'mi', 'opinión', 'pero', 'eso', 'no', 'significa', 'que', 'participar', 'pasivamente', 'sin', 'luchar', 'por', 'condiciones', 'sin', 'unidad', 'opositora', 'sin', 'plan', 'para', 'convertir', 'la', 'participación', 'en', 'acción', 'sea', 'una', 'estrategia', 'ganadora']"
34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['que', 'tiene', 'que', 'ver', 'una', 'cosa', 'con', 'la', 'otra', 'las', 'encuestas', 'no', 'miden', 'lo', 'que', 'los', 'encuestadores', 'quieren', 'desean', 'temen', 'miden', 'lo', 'que', 'la', 'gente', 'piensa', 'lo', 'vamos', 'decir', 'nos', 'guste', 'no', 'ese', 'es', 'nuestro', 'trabajo', 'moleste', 'quien', 'moleste']"
