tweet,tweet_tokenized,tweet_translated,tweet_translated_tokenized,neg,neu,pos,sentiment
"#vinotinto Fácil criticar desde la trinchera digital, salieron 11 jugadores a dejar la piel en el campo, alineaciones Vinotinto anteriores mejor preparadas encajaron más goles ante un brasil menos galáctico que este.  La FVF la puso en grande pero respeto a los que jugaron hoy.","['vinotinto', 'fácil', 'criticar', 'trinchera', 'digital', 'salieron', 'jugadores', 'dejar', 'piel', 'campo', 'alineaciones', 'vinotinto', 'anteriores', 'mejor', 'preparadas', 'encajaron', 'goles', 'brasil', 'menos', 'galáctico', 'fvf', 'puso', 'grande', 'respeto', 'jugaron', 'hoy']","#vinotinto Easy to criticize from the digital trench, 11 players came out to leave their skin on the field, previous better-prepared Vinotinto lineups conceded more goals against a less galactic Brazil than this one. The FVF put it in a big way but I respect those who played today.","['vinotinto', 'easy', 'criticize', 'digital', 'trench', 'players', 'came', 'leave', 'skin', 'field', 'previous', 'better', 'prepared', 'vinotinto', 'lineups', 'conceded', 'goals', 'less', 'galactic', 'brazil', 'one', 'fvf', 'put', 'big', 'way', 'respect', 'played', 'today']",0.1,0.553,0.347,Neutral
"#FutbolTotalDIRECTV de qué habla el turco y Pablo?  Brasil puso su 11 de gala, venezuela armó un “vente tú” y jugadores se bajaron a conocer a los compañeros y jugar. No gano como quiso.  Alemania el el 7 a 1 si gano como quiso.","['futboltotaldirectv', 'habla', 'turco', 'pablo', 'brasil', 'puso', 'gala', 'venezuela', 'armó', 'vente', 'tú”', 'jugadores', 'bajaron', 'conocer', 'compañeros', 'jugar', 'gano', 'quiso', 'alemania', 'si', 'gano', 'quiso']","#FutbolTotalDIRECTV what does the Turk and Pablo talk about? Brazil put on its 11th gala, Venezuela put together a “come on you” and players got off to meet their teammates and play. I do not win as he wanted. Germany on 7 to 1 if he won as he wanted.","['futboltotaldirectv', 'turk', 'pablo', 'talk', 'brazil', 'put', 'th', 'gala', 'venezuela', 'put', 'together', 'come', 'you”', 'players', 'got', 'meet', 'teammates', 'play', 'win', 'wanted', 'germany', 'wanted']",0.0,0.763,0.237,Neutral
Hoy atendiendo la invitación de los amigos de AVES  conversaremos sobre las bondades de nuestro VMS de plataforma abierta. Dejó por aquí la invitación para los que tengan interés. Pueden asistir siguiendo la cuenta @dicamsistemas  en IG.  https://t.co/FFe1FrPkH0,"['hoy', 'atendiendo', 'invitación', 'amigos', 'aves', 'conversaremos', 'bondades', 'vms', 'plataforma', 'abierta', 'dejó', 'aquí', 'invitación', 'interés', 'pueden', 'asistir', 'siguiendo', 'cuenta', 'dicamsistemas', 'ig']",Today attending the invitation of the friends of AVES we will talk about the benefits of our open platform VMS. He left the invitation here for those who are interested. You can attend by following the account @dicamsistemas on IG. https://t.co/FFe1FrPkH0,"['today', 'attending', 'invitation', 'friends', 'aves', 'talk', 'benefits', 'open', 'platform', 'vms', 'left', 'invitation', 'interested', 'attend', 'following', 'account', 'dicamsistemas', 'ig']",0.0,0.641,0.359,Neutral
"Saludos @EzequielDaray , sigo  tus transmisiones x One fútbol ! Excelente. Hoy cumple años Lothar y en un documental vi que  Uli Hoeneß dijo en algún momento mientras Rummenigge y yo estemos en el bayer el ni cortará el césped . podrías  en la próxima transmisión comentar de eso?","['saludos', 'ezequieldaray', 'sigo', 'transmisiones', 'one', 'fútbol', 'excelente', 'hoy', 'cumple', 'años', 'lothar', 'documental', 'vi', 'uli', 'hoeneß', 'dijo', 'algún', 'momento', 'mientras', 'rummenigge', 'bayer', 'cortará', 'césped', 'podrías', 'próxima', 'transmisión', 'comentar']","Greetings @EzequielDaray, I follow your broadcasts x One football! Excellent. Lothar's birthday is today and in a documentary I saw that Uli Hoeneß said at some point while Rummenigge and I are at Bayern he won't cut the grass. could you comment on that in the next broadcast?","['greetings', 'ezequieldaray', 'follow', 'broadcasts', 'one', 'football', 'excellent', 'lothar', 'birthday', 'today', 'documentary', 'saw', 'uli', 'hoeneß', 'said', 'point', 'rummenigge', 'bayern', 'cut', 'grass', 'could', 'comment', 'next', 'broadcast']",0.071,0.709,0.22,Neutral
@Vilma8a Jajajajaja en principio no estaba tan de acuerdo con lo de dulce como el amor pero ... es que igual el amor tampoco es tan dulce no?,"['vilma', 'jajajajaja', 'principio', 'tan', 'acuerdo', 'dulce', 'amor', 'igual', 'amor', 'tampoco', 'tan', 'dulce']",@ Vilma8a Hahahaha in principle I did not agree with sweet as love but ... is that love is not so sweet either?,"['vilma', 'hahahaha', 'principle', 'agree', 'sweet', 'love', 'love', 'sweet', 'either']",0.0,0.191,0.809,Positivo
"„El café debe ser caliente como el infierno, negro como el diablo, puro como el ángel y dulce como el amor.“ —  Charles Maurice de Talleyrand ..  https://t.co/gNagUAILsZ","['„el', 'café', 'debe', 'ser', 'caliente', 'infierno', 'negro', 'diablo', 'puro', 'ángel', 'dulce', 'amor', 'charles', 'maurice', 'talleyrand']","""Coffee should be hot as hell, black as devil, pure as angel and sweet as love."" - Charles Maurice de Talleyrand .. https://t.co/gNagUAILsZ","['coffee', 'hot', 'hell', 'black', 'devil', 'pure', 'angel', 'sweet', 'love', 'charles', 'maurice', 'de', 'talleyrand']",0.357,0.357,0.286,Neutral
#BLxOneFootball excelente transmisión como todas los felicito. Para los seguidores de la Bundesliga en venezuela es lo mejor ! Gracias,"['blxonefootball', 'excelente', 'transmisión', 'todas', 'felicito', 'seguidores', 'bundesliga', 'venezuela', 'mejor', 'gracias']",#BLxOneFootball excellent transmission as all I congratulate you. For the fans of the Bundesliga in Venezuela it is the best! Thanks,"['blxonefootball', 'excellent', 'transmission', 'congratulate', 'fans', 'bundesliga', 'venezuela', 'best', 'thanks']",0.0,0.263,0.737,Positivo
Algún día seremos serios ja ja,"['algún', 'día', 'serios', 'ja', 'ja']",Someday we will be serious ha ha,"['someday', 'serious', 'ha', 'ha']",0.302,0.698,0.0,Neutral
@teomairis @spicymeister Misma duda ! Ahora ..Seguro no eran newton .. no me llega el nombre y dice un amigo aqui que nabis  pero no lo recuerdo .,"['teomairis', 'spicymeister', 'misma', 'duda', 'ahora', 'seguro', 'newton', 'llega', 'nombre', 'dice', 'amigo', 'aqui', 'nabis', 'recuerdo']",@teomairis @spicymeister Same doubt! Now .. Surely they weren't Newton .. I can't get the name and a friend says here that Nabis but I don't remember.,"['teomairis', 'spicymeister', 'doubt', 'surely', 'newton', 'get', 'name', 'friend', 'says', 'nabis', 'remember']",0.151,0.482,0.367,Neutral
@lirrums Pendiente !,"['lirrums', 'pendiente']",@lirrums Pending!,"['lirrums', 'pending']",0.0,1.0,0.0,Neutral
@tiendasdaka  buenas tardes e intentado comunicarme con la tienda de punto fijo e incluso fui a sus otras tiendas de caracas y no me facilitan un número para llamar. El asistente virtual de punto fijo ( clara ) tampoco responde .,"['tiendasdaka', 'buenas', 'tardes', 'intentado', 'comunicarme', 'tienda', 'punto', 'fijo', 'incluso', 'tiendas', 'caracas', 'facilitan', 'número', 'llamar', 'asistente', 'virtual', 'punto', 'fijo', 'clara', 'tampoco', 'responde']",@tiendasdaka good afternoon and I tried to communicate with the fixed point store and I even went to their other stores in Caracas and they did not provide me with a number to call. The fixed point virtual assistant (clear) is also unresponsive.,"['tiendasdaka', 'good', 'afternoon', 'tried', 'communicate', 'fixed', 'point', 'store', 'even', 'went', 'stores', 'caracas', 'provide', 'number', 'call', 'fixed', 'point', 'virtual', 'assistant', 'clear', 'also', 'unresponsive']",0.0,0.736,0.264,Neutral
"@omarmartinex78 Pienso que Los alacranes no querían ganar nada más que lo que ya habían ganado! Dinero, más del que sus „virtudes“ podrían darle en toda su  vida y otras vidas más . .. lamentable pero si ganaron.","['omarmartinex', 'pienso', 'alacranes', 'querían', 'ganar', 'ganado', 'dinero', '„virtudes', 'podrían', 'darle', 'toda', 'vida', 'vidas', 'lamentable', 'si', 'ganaron']","@ omarmartinex78 I think Los scorpions didn't want to win anything other than what they had already won! Money, more than his ""virtues"" could give him in his whole life and other lives. .. unfortunate but if they won.","['omarmartinex', 'think', 'los', 'scorpions', 'want', 'win', 'anything', 'already', 'money', 'virtues', 'could', 'give', 'whole', 'life', 'lives', 'unfortunate']",0.133,0.531,0.336,Neutral
@AsktoMandrake Este mago es un crack !! Ja ja ja ja ja ja,"['asktomandrake', 'mago', 'crack', 'ja', 'ja', 'ja', 'ja', 'ja', 'ja']",@AsktoMandrake Este Mago es un crack !! And and and and and and,"['asktomandrake', 'este', 'mago', 'es', 'un', 'crack']",0.0,1.0,0.0,Neutral
"@Alex843985985 Ja ja ja ja ja  deja revisar la receta de Armando Escanone pana, una pregunta con que lo vas a acompañar asado negro o carne mechada ? @RosaDLopez","['alex', 'ja', 'ja', 'ja', 'ja', 'ja', 'deja', 'revisar', 'receta', 'armando', 'escanone', 'pana', 'pregunta', 'vas', 'acompañar', 'asado', 'negro', 'carne', 'mechada', 'rosadlopez']","@ Alex843985985 Ha ha ha ha ha, let us review Armando Escanone's corduroy recipe, a question with what are you going to accompany it with black roast or shredded meat? @RosaDLopez","['alex', 'ha', 'ha', 'ha', 'ha', 'ha', 'let', 'us', 'review', 'armando', 'escanone', 'corduroy', 'recipe', 'question', 'going', 'accompany', 'black', 'roast', 'shredded', 'meat', 'rosadlopez']",0.0,1.0,0.0,Neutral
"Brasil ganando, con una plantilla millonaria por la mínima termina haciendo un consumo de tiempo de pena frente a venezuela","['brasil', 'ganando', 'plantilla', 'millonaria', 'mínima', 'termina', 'haciendo', 'consumo', 'tiempo', 'pena', 'frente', 'venezuela']","Brazil winning, with a millionaire workforce by the minimum ends up consuming time of penalty against venezuela","['brazil', 'winning', 'millionaire', 'workforce', 'minimum', 'ends', 'consuming', 'time', 'penalty', 'venezuela']",0.208,0.556,0.236,Neutral
No voy a entrar en lo de si es posible o no puntuarle  a Brasil... porque más que eso.. es necesario. .. los que están allá son los que se la juegan y así creamos o no debemos apoyarlos .. vamos muchachos .,"['voy', 'entrar', 'si', 'posible', 'puntuarle', 'brasil', 'necesario', 'allá', 'juegan', 'así', 'creamos', 'debemos', 'apoyarlos', 'vamos', 'muchachos']",I'm not going to go into whether or not it is possible to score Brazil ... because more than that ... it is necessary. .. those who are there are the ones who risk it and whether we believe it or not we should support them .. come on guys.,"['going', 'go', 'whether', 'possible', 'score', 'brazil', 'necessary', 'ones', 'risk', 'whether', 'believe', 'support', 'come', 'guys']",0.125,0.714,0.161,Neutral
Viendo  Brasil - Venezuela por la tele tuya  revivo mi niñez .. ... la calidad de la imagen y las propagandas son como de mediados de los 70!,"['viendo', 'brasil', 'venezuela', 'tele', 'revivo', 'niñez', 'calidad', 'imagen', 'propagandas', 'mediados']",Watching Brazil - Venezuela on your TV I relive my childhood ... ... the quality of the image and the advertisements are like the mid-70s!,"['watching', 'brazil', 'venezuela', 'tv', 'relive', 'childhood', 'quality', 'image', 'advertisements', 'like', 'mid']",0.0,0.8,0.2,Neutral
Total,['total'],Total,['total'],0.0,1.0,0.0,Neutral
"@edlamrt27 @IgoneKintana No solo es turismo, Mi familia está en oriente, no puedo ni enviarles nada ni visitarlos. Ir por carretera aparte de complicado por las restricciones se hace altamente peligroso .. les puedo transferir pero igual  todo sale más caro y difícil de hallar  que en caracas ..","['edlamrt', 'igonekintana', 'solo', 'turismo', 'familia', 'oriente', 'puedo', 'enviarles', 'visitarlos', 'ir', 'carretera', 'aparte', 'complicado', 'restricciones', 'hace', 'altamente', 'peligroso', 'puedo', 'transferir', 'igual', 'sale', 'caro', 'difícil', 'hallar', 'caracas']","@ edlamrt27 @IgoneKintana It is not only tourism, my family is in the East, I can neither send anything nor visit them. Going by road apart from being complicated by the restrictions becomes highly dangerous .. I can transfer you but everything is still more expensive and difficult to find than in Caracas ..","['edlamrt', 'igonekintana', 'tourism', 'family', 'east', 'neither', 'send', 'anything', 'visit', 'going', 'road', 'apart', 'complicated', 'restrictions', 'becomes', 'highly', 'dangerous', 'transfer', 'everything', 'still', 'expensive', 'difficult', 'find', 'caracas']",0.211,0.789,0.0,Neutral
Con este resultado de Paraguay cobra más el juego con venezuela que pudo empatarlo ..,"['resultado', 'paraguay', 'cobra', 'juego', 'venezuela', 'pudo', 'empatarlo']","With this result, Paraguay charges more the game with Venezuela that could tie it.","['result', 'paraguay', 'charges', 'game', 'venezuela', 'could', 'tie']",0.259,0.741,0.0,Neutral
@RamaRamirezz Por ejemplo ahorita para mi era roja ..,"['ramaramirezz', 'ejemplo', 'ahorita', 'roja']","@RamaRamirezz For example, right now for me it was red ...","['ramaramirezz', 'example', 'right', 'red']",0.0,1.0,0.0,Neutral
"@RamaRamirezz Es posible, aunque no me pareció mano  no amplía su volumen y es más hombro, y ojo que no soy  messi / argentina fan . Solo que 8  toques después y estando el auxiliar al lado esperan para revisar la falta ? Raro no ?","['ramaramirezz', 'posible', 'aunque', 'pareció', 'mano', 'amplía', 'volumen', 'hombro', 'ojo', 'messi', 'argentina', 'fan', 'solo', 'toques', 'después', 'auxiliar', 'lado', 'esperan', 'revisar', 'falta', 'raro']","@RamaRamirezz It is possible, although it did not seem like a hand, it does not expand its volume and is more shoulder, and beware that I am not a Messi / Argentine fan. Only 8 touches later and with the assistant next door waiting to review the fault? Weird, no ?","['ramaramirezz', 'possible', 'although', 'seem', 'like', 'hand', 'expand', 'volume', 'shoulder', 'beware', 'messi', 'argentine', 'fan', 'touches', 'later', 'assistant', 'next', 'door', 'waiting', 'review', 'fault', 'weird']",0.143,0.521,0.336,Neutral
Acaban de robar a Messi y a argentina !! Que desgracia ese VAR,"['acaban', 'robar', 'messi', 'argentina', 'desgracia', 'var']",They just robbed Messi and Argentina !! What a disgrace that VAR,"['robbed', 'messi', 'argentina', 'disgrace', 'var']",0.444,0.556,0.0,Neutral
"Venezuela a desafiar la Historia, para jugar un mundial hay que quitarle puntos a los grandes .. Nobody Said it was easy !  https://t.co/WT0xzUs7hJ","['venezuela', 'desafiar', 'historia', 'jugar', 'mundial', 'quitarle', 'puntos', 'grandes', 'nobody', 'said', 'it', 'was', 'easy']","Venezuela to challenge History, to play a World Cup you have to take points away from the greats .. Nobody Said it was easy! https://t.co/WT0xzUs7hJ","['venezuela', 'challenge', 'history', 'play', 'world', 'cup', 'take', 'points', 'away', 'greats', 'nobody', 'said', 'easy']",0.0,0.602,0.398,Neutral
@abramartti Claro pequeño saltamontes 🦗. Es David Carradine  .. Luego lo andaba buscando Beatrix Kiddo (Uma Thurman) para matarlo .,"['abramartti', 'claro', 'pequeño', 'saltamontes', 'david', 'carradine', 'luego', 'andaba', 'buscando', 'beatrix', 'kiddo', 'uma', 'thurman', 'matarlo']",@abramartti Sure little grasshopper 🦗. It's David Carradine .. Then Beatrix Kiddo (Uma Thurman) was looking for him to kill him.,"['abramartti', 'sure', 'little', 'grasshopper', 'david', 'carradine', 'beatrix', 'kiddo', 'uma', 'thurman', 'looking', 'kill']",0.276,0.588,0.135,Neutral
Banesquin se quedo sin trabajo..,"['banesquin', 'quedo', 'trabajo']",Banesquin lost his job.,"['banesquin', 'lost', 'job']",0.535,0.465,0.0,Negativo
"@FCBayern Vielen Dank Bayern!..  en febrero me propuse aprender alemán, con la meta  en mente de  lograr leer en diciembre los Tweets de @FCBayern .. hoy ya puedo leer algunos sin traductor .. sigo aprendiendo, pronto iré a verlos jugar si dios me lo concede ! Mia san mia!!","['fcbayern', 'vielen', 'dank', 'bayern', 'febrero', 'propuse', 'aprender', 'alemán', 'meta', 'mente', 'lograr', 'leer', 'diciembre', 'tweets', 'fcbayern', 'hoy', 'puedo', 'leer', 'traductor', 'sigo', 'aprendiendo', 'pronto', 'iré', 'verlos', 'jugar', 'si', 'dios', 'concede', 'mia', 'san', 'mia']","@FCBayern Vielen Dank Bayern! .. in February I decided to learn German, with the goal in mind of being able to read @FCBayern's Tweets in December .. today I can read some without a translator .. I'm still learning, soon I'll go see them play if God grant it to me! Mia San Mia!!","['fcbayern', 'vielen', 'dank', 'bayern', 'february', 'decided', 'learn', 'german', 'goal', 'mind', 'able', 'read', 'fcbayern', 'tweets', 'december', 'today', 'read', 'without', 'translator', 'still', 'learning', 'soon', 'go', 'see', 'play', 'god', 'grant', 'mia', 'san', 'mia']",0.121,0.687,0.192,Neutral
@madeley0411 ......Forjarán mi destino Las piedras del camino Lo que nos es querido Siempre queda atrás..,"['madeley', 'forjarán', 'destino', 'piedras', 'camino', 'querido', 'siempre', 'queda', 'atrás']",@ madeley0411 ...... They will forge my destiny The stones of the way What is dear to us Always remains behind ..,"['madeley', 'forge', 'destiny', 'stones', 'way', 'dear', 'us', 'always', 'remains', 'behind']",0.0,0.776,0.224,Neutral
Saludos @2010MisterChip  seguro lo de Morata  hoy debe ser inédito !  3 en un mismo juego? Hat Trick anulado,"['saludos', 'misterchip', 'seguro', 'morata', 'hoy', 'debe', 'ser', 'inédito', 'mismo', 'juego', 'hat', 'trick', 'anulado']",Greetings @ 2010MisterChip sure Morata today must be unpublished! 3 in one game? Hat Trick bypassed,"['greetings', 'misterchip', 'sure', 'morata', 'today', 'must', 'unpublished', 'one', 'game', 'hat', 'trick', 'bypassed']",0.078,0.588,0.333,Neutral
"No imagino  los motivos por los que le puede haber suspendido la cuenta a @ClaudioNazoa ... pero lo que si les digo a  @TwitterLatAm es que  “no coman cuento, ... “y restituyan por favor su cuenta !","['imagino', 'motivos', 'puede', 'haber', 'suspendido', 'cuenta', 'claudionazoa', 'si', 'digo', 'twitterlatam', 'coman', 'cuento', 'restituyan', 'favor', 'cuenta']","I can't imagine the reasons why @ClaudioNazoa's account may have been suspended ... but what I do tell @TwitterLatAm is that ""don't eat a story, ..."" and please restore your account!","['imagine', 'reasons', 'claudionazoa', 'account', 'may', 'suspended', 'tell', 'twitterlatam', 'eat', 'story', 'please', 'restore', 'account']",0.176,0.568,0.256,Neutral
"@Dianav981 Claro, te recomiendo leas “el “perfume, Patrick Süskind","['dianav', 'claro', 'recomiendo', 'leas', 'perfume', 'patrick', 'süskind']","@ Dianav981 Sure, I recommend you read ""the"" perfume, Patrick Süskind","['dianav', 'sure', 'recommend', 'read', 'perfume', 'patrick', 'süskind']",0.0,0.51,0.49,Neutral
"Mi vieja tenía un refrán .. Martes 13. ni te cases ni te embarques ni de tu casa te apartes .. tampoco juegues eliminatorias de fútbol ! Palo, gol eliminado, penal parado,  y un gol encajado quizá  durante el único pestañeo en defensa ! Jo.","['vieja', 'refrán', 'martes', 'cases', 'embarques', 'casa', 'apartes', 'tampoco', 'juegues', 'eliminatorias', 'fútbol', 'palo', 'gol', 'eliminado', 'penal', 'parado', 'gol', 'encajado', 'quizá', 'único', 'pestañeo', 'defensa', 'jo']","My old woman had a saying .. Tuesday the 13th neither get married nor embark nor depart from your house .. neither play soccer qualifiers! Stick, goal eliminated, penalty saved, and a goal conceded perhaps during the only wink on defense! Jo.","['old', 'woman', 'saying', 'tuesday', 'th', 'neither', 'get', 'married', 'embark', 'depart', 'house', 'neither', 'play', 'soccer', 'qualifiers', 'stick', 'goal', 'eliminated', 'penalty', 'saved', 'goal', 'conceded', 'perhaps', 'wink', 'defense', 'jo']",0.161,0.702,0.137,Neutral
"Si le van a dar la exclusividad de la transmisión de los juegos de lavinotinto  a un solo canal, y nos van a bombardear a propagandas del gobierno, podrían por lo menos pedirle al canal que transmita en HD ? O Sería mucho pedir ?","['si', 'van', 'dar', 'exclusividad', 'transmisión', 'juegos', 'lavinotinto', 'solo', 'canal', 'van', 'bombardear', 'propagandas', 'gobierno', 'podrían', 'menos', 'pedirle', 'canal', 'transmita', 'hd', 'pedir']","If they are going to give you exclusive transmission of lavinotinto games to a single channel, and you are going to bombard us with government advertisements, could you at least ask the channel to broadcast in HD? Or would it be too much to ask?","['going', 'give', 'exclusive', 'transmission', 'lavinotinto', 'games', 'single', 'channel', 'going', 'bombard', 'us', 'government', 'advertisements', 'could', 'least', 'ask', 'channel', 'broadcast', 'hd', 'would', 'much', 'ask']",0.0,0.933,0.067,Neutral
@lagardunasiglo1 @CarlosOAlbornoz @venezolanoperdi Dice Habitante de Caigüire y cuando habla dice „ ciudadadano arcarde“ así que sin temor a equivocarme es en mi querida Cumaná la tierra del Gran Mariscal de Ayacucho.,"['lagardunasiglo', 'carlosoalbornoz', 'venezolanoperdi', 'dice', 'habitante', 'caigüire', 'habla', 'dice', 'ciudadadano', 'arcarde', 'así', 'temor', 'equivocarme', 'querida', 'cumaná', 'tierra', 'gran', 'mariscal', 'ayacucho']",@ lagardunasiglo1 @CarlosOAlbornoz @venezolanoperdi Inhabitant of Caigüire says and when he speaks he says „citizen arcarde“ so without fear of being wrong it is in my beloved Cumaná the land of the Great Marshal of Ayacucho.,"['lagardunasiglo', 'carlosoalbornoz', 'venezolanoperdi', 'inhabitant', 'caigüire', 'says', 'speaks', 'says', '„citizen', 'arcarde', 'without', 'fear', 'wrong', 'beloved', 'cumaná', 'land', 'great', 'marshal', 'ayacucho']",0.1,0.556,0.344,Neutral
@GiuseppeCittad7 Nuestro padre quien ya no está con nosotros en este plano lo hacía cada vez que nos veía. Y nos llamaba A cada uno todas las noches para saber si ya estábamos en casa y bien. Yo lo hago todos los días !,"['giuseppecittad', 'padre', 'plano', 'hacía', 'cada', 'vez', 'veía', 'llamaba', 'cada', 'todas', 'noches', 'saber', 'si', 'casa', 'bien', 'hago', 'días']",@ GiuseppeCittad7 Our father who is no longer with us on this plane did it every time he saw us. And he called each of us every night to see if we were home and well. I do it every day!,"['giuseppecittad', 'father', 'longer', 'us', 'plane', 'every', 'time', 'saw', 'us', 'called', 'us', 'every', 'night', 'see', 'home', 'well', 'every', 'day']",0.0,0.89,0.11,Neutral
Brutal,['brutal'],Brutal,['brutal'],1.0,0.0,0.0,Negativo
@AntroCanal Parece que a nadie le duelen estas noticias ..,"['antrocanal', 'parece', 'nadie', 'duelen', 'noticias']",@AntroCanal It seems that no one is hurt by these news ...,"['antrocanal', 'seems', 'one', 'hurt', 'news']",0.459,0.541,0.0,Neutral
